text,created_at,clean_text
@IronWolf950 you men are truly sad and that's coming from me... how disappointing 😔,2025-06-10 19:44:45+00:00,you men are truly sad and that's coming from me... how disappointing 😔
@madapescall depression,2025-06-10 19:44:45+00:00,depression
"@FelixGallardo44 Hah, idiote, gle sad https://t.co/0rk889nfbe",2025-06-10 19:44:44+00:00,"hah, idiote, gle sad"
"Headtrick dies, the cam pans to him and he looks like a sad little puppy every time.",2025-06-10 19:44:43+00:00,"headtrick dies, the cam pans to him and he looks like a sad little puppy every time."
@sad_eris23 I want cry omg I don't know if it's of sadness or happyness but this art omg 😭❤️,2025-06-10 19:44:43+00:00,i want cry omg i don't know if it's of sadness or happyness but this art omg 😭❤️
@RobertAnim8er That’s really sad mate! Hopefully you will find a new job soon considering how talented you are.,2025-06-10 19:44:42+00:00,that’s really sad mate! hopefully you will find a new job soon considering how talented you are.
@MarchMadnessWBB @Reese10Angel @BET @chicagosky @LSUwbkb Just just speaks volumes to the lack of black female athletes in sports to be considered for “Sportswoman” of the year!  SAD,2025-06-10 19:44:42+00:00,just just speaks volumes to the lack of black female athletes in sports to be considered for “sportswoman” of the year!  sad
"@ALilBarista ""I am, but please.. call me Alice..""

She puts a hand out to him, and smiles softly. Anxiety was getting the best of her, her heart pounding and her face starting to flush. 

She knew meeting Claudia's parents would happen eventually, but it didn't make it any less ++",2025-06-10 19:44:42+00:00,"""i am, but please.. call me alice..""

she puts a hand out to him, and smiles softly. anxiety was getting the best of her, her heart pounding and her face starting to flush. 

she knew meeting claudia's parents would happen eventually, but it didn't make it any less ++"
"@SPG9814 @PeteThamel To our feelings for him... yeah. Otherwise, not really. He used to be a great recruiter, but wasn't worth a shit as a TE coach &amp; has gotten lazy. Maybe he'll get reenergized for recruiting for a few years, but he still stinks as a coach. Hopefully UK cleans house in football.",2025-06-10 19:44:42+00:00,"to our feelings for him... yeah. otherwise, not really. he used to be a great recruiter, but wasn't worth a shit as a te coach &amp; has gotten lazy. maybe he'll get reenergized for recruiting for a few years, but he still stinks as a coach. hopefully uk cleans house in football."
"@AJachildofGod @YourAnonCentral Damn man, you got fucked on this one.",2025-06-10 19:44:42+00:00,"damn man, you got fucked on this one."
when im sad I remind myself that nothing will be worse than 2023 summer,2025-06-10 19:44:41+00:00,when im sad i remind myself that nothing will be worse than 2023 summer
"slut gets face fucked 

https://t.co/Zt6ct6Ek1O",2025-06-10 19:44:41+00:00,slut gets face fucked
Feeling sad for no clear reason.,2025-06-10 19:44:41+00:00,feeling sad for no clear reason.
